Student_ID,Midterm_Score,Assignments_Avg,Quizzes_Avg,Participation_Score,Projects_Score,Attendance (%),Study_Hours_per_Week,Sleep_Hours_per_Night,Stress_Level (1-10),Age,Final_Score,Total_Score,Gender_Encoded,Extracurricular_Activities_Encoded,Internet_Access_at_Home_Encoded,Department_Business,Department_CS,Department_Engineering,Department_Mathematics,Parent_Education_Level_Bachelor's,Parent_Education_Level_High School,Parent_Education_Level_Master's,Parent_Education_Level_PhD,Family_Income_Level_High,Family_Income_Level_Low,Family_Income_Level_Medium
S1000,40.61,73.69,53.17,73.4,62.84,97.36,10.3,5.9,1,22,59.61,59.8865,0,1,0,0,0,0,1,0,0,1,0,0,0,1
S1001,57.27,74.23,98.23,88.0,98.23,97.71,27.1,4.3,4,18,74.0,81.917,1,0,0,1,0,0,0,0,1,0,0,0,1,0
S1002,41.84,85.85,50.0,4.699999999999999,91.22,99.52,12.4,6.1,9,24,63.85,67.717,1,1,0,0,0,1,0,0,1,0,0,0,1,0
S1003,45.65,68.1,66.27,4.2,55.48,90.38,25.5,4.9,8,24,44.44,51.6535,0,0,1,0,0,1,0,0,1,0,0,0,1,0
S1004,53.13,67.66,83.98,64.3,87.43,59.41,13.3,4.5,6,23,61.77,71.403,0,1,0,0,1,0,0,0,0,1,0,0,0,1
S1005,70.21,87.85,52.26,54.8,67.65,60.6,25.3,5.6,6,21,64.48,68.09,1,1,0,0,0,0,1,0,1,0,0,0,0,1
S1006,90.85,89.0,54.17,15.5,87.51,67.01,22.1,4.0,2,24,93.74,82.8575,1,1,0,1,0,0,0,1,0,0,0,1,0,0
S1007,91.72,50.72,53.83,54.8,90.04,65.91,16.7,7.8,5,19,59.47,71.36850000000001,1,1,1,0,0,1,0,0,1,0,0,0,1,0
S1008,76.97,57.19,79.08,97.4,57.57,97.83,18.1,4.8,9,21,62.75,65.8605,0,0,1,0,1,0,0,0,0,0,1,1,0,0
S1009,95.69,60.65,94.8,63.1,83.09,89.45,9.4,7.1,8,22,86.97,82.75550000000001,0,1,0,1,0,0,0,0,1,0,0,1,0,0
S1010,70.0,67.58,77.77,44.900000000000006,93.14,86.2,7.9,8.2,4,23,85.54,79.98599999999999,0,1,1,1,0,0,0,0,1,0,0,0,1,0
S1011,93.34,64.57,80.18,82.8,66.17,59.3,22.9,8.6,7,20,87.9,77.6705,0,1,0,0,0,0,1,0,1,0,0,0,1,0
S1012,67.24,83.43,67.3,21.3,54.02,95.48,26.2,6.8,9,21,97.23,70.909,1,0,0,0,0,1,0,0,1,0,0,0,0,1
S1013,56.63,91.41,50.94,41.4,51.36,91.39,23.0,7.9,5,18,87.73,66.7105,1,0,0,1,0,0,0,0,0,0,1,0,0,1
S1014,94.98,59.6,51.08,52.8,55.5,58.18,27.8,6.3,2,19,64.46,63.7,1,0,1,0,1,0,0,1,0,0,0,1,0,0
S1015,63.28,78.15,94.42,50.5,50.21,93.56,27.3,6.5,2,18,89.29,70.56700000000001,1,1,0,0,1,0,0,1,0,0,0,0,1,0
S1016,70.2,68.39,55.13,92.1,66.35,63.61,24.5,6.7,8,21,70.52,68.44149999999999,0,0,1,1,0,0,0,0,1,0,0,1,0,0
S1017,59.73,75.29,99.99,29.3,64.97,54.04,27.5,7.4,8,23,56.66,65.373,0,0,0,0,1,0,0,1,0,0,0,0,0,1
S1018,79.77,81.04,58.22,5.699999999999999,55.52,82.84,9.2,7.3,8,20,58.18,61.4295,1,1,1,1,0,0,0,0,1,0,0,1,0,0
S1019,99.7,94.68,83.73,91.6,82.56,82.69,23.3,7.9,5,20,53.43,80.2355,1,0,1,0,1,0,0,0,0,1,0,0,1,0
S1020,41.53,59.61,97.45,21.7,99.6,54.75,23.8,7.1,2,18,48.7,68.05599999999998,1,0,0,1,0,0,0,0,0,0,1,1,0,0
S1021,93.99,54.35,68.11,37.9,95.05,65.94,8.8,8.4,10,22,51.07,72.2395,1,0,0,1,0,0,0,0,1,0,0,1,0,0
S1022,40.24,81.36,86.72,53.1,62.64,99.64,27.7,7.5,8,22,43.79,59.3065,1,0,1,1,0,0,0,0,0,0,1,0,1,0
S1023,61.85,69.71,67.54,97.6,88.5,83.92,5.2,8.6,4,23,93.31,81.2455,0,1,1,0,1,0,0,1,0,0,0,0,1,0
S1024,50.12,58.15,65.25,53.5,96.84,86.5,15.9,7.8,9,20,95.86,78.4575,0,0,1,1,0,0,0,0,1,0,0,0,1,0
S1025,85.44,55.85,60.09,44.8,95.32,60.65,5.5,7.7,10,18,75.21,76.841,1,0,0,0,0,0,1,0,0,0,1,0,0,1
S1026,43.04,77.95,91.05,58.4,94.23,53.94,18.1,8.3,6,18,90.43,81.05000000000001,1,0,0,1,0,0,0,0,0,0,1,1,0,0
S1027,73.21,65.02,62.87,97.1,89.32,63.85,15.3,7.3,10,18,51.01,71.42499999999998,1,0,1,0,0,1,0,0,1,0,0,1,0,0
S1028,57.7,99.87,64.16,81.8,64.65,62.44,20.6,4.9,7,21,94.1,77.0615,0,1,0,0,0,1,0,0,0,1,0,0,1,0
S1029,48.02,70.3,99.95,16.9,54.18,61.73,24.2,4.4,3,23,70.38,62.43699999999999,0,1,1,0,0,0,1,0,0,0,1,0,1,0
S1030,86.31,60.61,66.37,80.3,74.39,59.64,24.2,5.6,2,22,44.03,66.0145,0,1,1,1,0,0,0,0,1,0,0,0,0,1
S1031,53.05,81.44,71.14,84.1,52.74,78.74,23.1,8.1,2,22,48.48,59.4345,1,1,0,0,0,1,0,0,0,1,0,0,1,0
S1032,53.42,62.21,99.5,69.1,99.92,66.41,7.5,4.1,3,21,58.54,75.3605,0,1,0,1,0,0,0,0,0,1,0,0,0,1
S1033,56.5,74.7,68.47,65.7,67.92,91.02,15.4,4.8,7,19,42.61,60.840500000000006,1,0,0,0,0,1,0,0,1,0,0,0,0,1
S1034,75.21,74.13,68.31,44.1,97.92,59.2,25.4,4.5,8,21,58.56,75.453,0,0,1,0,1,0,0,0,0,1,0,0,0,1
S1035,79.58,72.68,91.39,64.2,88.66,73.23,21.4,4.2,4,23,43.6,72.686,0,0,0,0,1,0,0,1,0,0,0,0,1,0
S1036,41.06,89.8,65.6,73.8,70.56,50.68,22.0,8.1,3,18,54.16,64.58699999999999,0,1,1,0,0,0,1,0,0,1,0,1,0,0
S1037,54.51,60.83,61.69,12.3,55.92,74.08,10.7,5.4,7,21,55.94,54.846,1,1,1,0,0,0,1,0,1,0,0,0,1,0
S1038,65.86,95.22,71.16,25.7,61.86,52.79,13.1,7.6,3,18,99.66,76.036,1,1,0,1,0,0,0,0,0,1,0,1,0,0
S1039,59.92,89.57,85.03,19.4,83.65,98.89,28.9,4.7,8,23,54.13,70.524,0,0,0,0,0,0,1,0,0,0,1,0,1,0
S1040,93.05,66.66,52.16,84.1,91.5,89.53,26.2,6.0,4,24,54.35,74.41499999999999,1,1,0,1,0,0,0,0,0,1,0,0,0,1
S1041,87.26,59.03,68.7,68.0,98.97,74.51,9.1,4.6,8,23,81.21,82.207,1,1,1,0,1,0,0,0,1,0,0,1,0,0
S1042,77.55,63.98,67.31,45.1,56.61,54.33,18.6,4.0,2,20,91.56,70.08850000000001,1,0,0,0,1,0,0,0,1,0,0,0,1,0
S1043,60.28,66.63,62.24,82.6,57.8,79.62,17.3,7.1,8,18,63.22,62.5355,1,1,1,0,0,1,0,0,0,1,0,0,1,0
S1044,82.04,77.85,82.71,71.7,52.12,87.94,16.1,6.4,8,22,92.54,74.6105,1,0,1,1,0,0,0,1,0,0,0,1,0,0
S1045,90.62,52.32,64.5,91.4,63.02,59.54,16.8,6.1,10,21,60.41,66.46950000000001,1,1,1,0,1,0,0,0,0,1,0,0,0,1
S1046,75.69,95.72,80.34,7.7,91.05,78.41,21.1,4.4,3,24,51.82,74.4005,1,1,0,0,1,0,0,0,1,0,0,0,0,1
S1047,87.07,54.93,75.22,50.9,59.91,90.71,29.2,6.9,2,23,59.78,64.285,0,0,0,1,0,0,0,0,1,0,0,1,0,0
S1048,84.95,63.96,60.86,70.7,77.39,88.41,26.9,7.9,7,18,76.56,74.3145,1,0,0,0,0,1,0,0,0,1,0,0,1,0
S1049,74.3,55.46,63.33,20.7,72.32,90.15,26.9,4.3,9,24,62.03,64.03549999999998,1,0,1,0,0,1,0,1,0,0,0,0,0,1
S1050,58.73,62.83,58.53,32.7,66.29,93.97,22.6,6.1,10,19,80.37,65.70150000000001,0,1,1,0,0,1,0,1,0,0,0,0,1,0
S1051,84.75,91.88,52.83,41.900000000000006,80.92,96.88,5.4,5.6,1,20,54.22,71.70349999999999,0,0,1,0,0,1,0,1,0,0,0,0,0,1
S1052,52.41,80.76,80.96,79.4,75.12,70.28,16.0,8.5,5,19,82.06,75.0925,0,1,0,0,1,0,0,0,0,0,1,0,1,0
S1053,86.77,61.37,83.64,49.400000000000006,66.74,78.44,17.8,5.3,3,23,60.85,68.2895,0,0,0,1,0,0,0,0,0,0,1,0,0,1
